,Country,Year,Value(Imports),Share,Growth
161,PHILIPPINES,2020,523.83,0.1103,-9.86
162,PITCAIRN IS.,2020,0.02,0.0,-42.75
163,POLAND,2020,849.58,0.179,7.08
164,PORTUGAL,2020,141.82,0.0299,6.77
165,PUERTO RICO,2020,52.45,0.011,34.33
166,QATAR,2020,9685.98,2.0404,-9.66
167,REUNION,2020,18.52,0.0039,2.01
168,ROMANIA,2020,261.34,0.0551,-17.11
169,RUSSIA,2020,7093.01,1.4942,21.45
170,RWANDA,2020,4.1,0.0009,-38.55
171,SAMOA,2020,3.0,0.0006,9.12
172,SAN MARINO,2020,0.15,0.0,-28.98
173,SAO TOME,2020,0.0,,
174,SAUDI ARAB,2020,26857.37,5.6576,-5.69
175,SENEGAL,2020,469.47,0.0989,-28.76
176,SERBIA,2020,11.51,0.0024,-46.36
177,SEYCHELLES,2020,4.71,0.001,-10.74
178,SIERRA LEONE,2020,24.49,0.0052,108.86
179,SINGAPORE,2020,14746.78,3.1065,-9.43
180,SLOVAK REP,2020,54.84,0.0116,-4.49
181,SLOVENIA,2020,248.43,0.0523,-0.07
182,SOLOMON IS,2020,38.97,0.0082,-33.74
183,SOMALIA,2020,15.05,0.0032,-17.9
184,SOUTH AFRICA,2020,6969.79,1.4682,6.94
185,SOUTH SUDAN,2020,7.33,0.0015,-91.86
186,SPAIN,2020,1613.17,0.3398,-4.01
187,SRI LANKA DSR,2020,903.69,0.1904,-39.28
188,ST HELENA,2020,0.01,0.0,-79.75
189,ST KITT N A,2020,0.0,,
190,ST LUCIA,2020,0.61,0.0001,7.77
191,ST VINCENT,2020,0.0,,
192,STATE OF PALEST,2020,0.74,0.0002,-37.27
193,SUDAN,2020,396.75,0.0836,-46.57
194,SURINAME,2020,55.07,0.0116,-38.4
195,SWAZILAND,2020,7.03,0.0015,-26.76
196,SWEDEN,2020,1114.48,0.2348,-16.01
197,SWITZERLAND,2020,16899.89,3.56,-6.57
198,SYRIA,2020,15.34,0.0032,8.25
199,TAIWAN,2020,4046.23,0.8524,-11.6
200,TAJIKISTAN,2020,0.29,0.0001,-93.12
201,TANZANIA REP,2020,1023.47,0.2156,13.28
202,THAILAND,2020,6788.38,1.43,-8.78
203,TOGO,2020,383.54,0.0808,26.2
204,TOKELAU IS,2020,0.08,0.0,347.51
205,TONGA,2020,0.0,,
206,TRINIDAD,2020,84.42,0.0178,-56.79
207,TUNISIA,2020,131.13,0.0276,-4.89
208,TURKEY,2020,2116.56,0.4459,-11.38
209,TURKMENISTAN,2020,3.99,0.0008,-80.66
210,TURKS C IS,2020,0.01,0.0,
211,TUVALU,2020,0.0,,
212,U ARAB EMTS,2020,30256.65,6.3737,1.58
213,U K,2020,6712.63,1.4141,-11.23
214,U S A,2020,35819.87,7.5456,0.76
215,UGANDA,2020,33.98,0.0072,47.36
216,UKRAINE,2020,2060.79,0.4341,-11.97
217,UNSPECIFIED,2020,123.49,0.026,37.61
218,URUGUAY,2020,57.24,0.0121,33.23
219,US MINOR OUTLYING ISLANDS,2020,0.4,0.0001,403.43
220,UZBEKISTAN,2020,66.85,0.0141,-47.25
221,VANUATU REP,2020,0.26,0.0001,
222,VATICAN CITY,2020,0.18,0.0,105.33
223,VENEZUELA,2020,6057.01,1.2759,-16.56
224,VIETNAM SOC REP,2020,7283.42,1.5343,1.27
225,VIRGIN IS US,2020,7.5,0.0016,889.45
226,WALLIS F IS,2020,0.0,,
227,YEMEN REPUBLC,2020,22.73,0.0048,93.06
228,ZAMBIA,2020,843.32,0.1776,65.19
229,ZIMBABWE,2020,13.59,0.0029,74.38
230,AFGHANISTAN,2021,509.49,0.1292,-3.84
231,ALBANIA,2021,8.3,0.0021,-82.52
232,ALGERIA,2021,408.79,0.1036,-79.53
