,Country,Year,Value(Exports),Share,Growth
1788,LIBYA,2018,121.96,0.0402,NA
1789,LIECHTENSTEIN,2018,2.8,0.0009,NA
1790,LITHUANIA,2018,103.84,0.0342,NA
1791,LUXEMBOURG,2018,11.39,0.0038,NA
1792,MACAO,2018,13.89,0.0046,NA
1793,MACEDONIA,2018,17.38,0.0057,NA
1794,MADAGASCAR,2018,228.11,0.0752,NA
1795,MALAWI,2018,199.6,0.0658,NA
1796,MALAYSIA,2018,5701.56,1.8784,NA
1797,MALDIVES,2018,217.0,0.0715,NA
1798,MALI,2018,123.6,0.0407,NA
1799,MALTA,2018,195.86,0.0645,NA
1800,MARSHALL ISLAND,2018,14.0,0.0046,NA
1801,MARTINIQUE,2018,4.42,0.0015,NA
1802,MAURITANIA,2018,83.16,0.0274,NA
1803,MAURITIUS,2018,1077.15,0.3549,NA
1804,MAYOTTE,2018,0.07,0.0,NA
1805,MEXICO,2018,3782.79,1.2463,NA
1806,MICRONESIA,2018,0.3,0.0001,NA
1807,MOLDOVA,2018,7.14,0.0024,NA
1808,MONACO,2018,1.94,0.0006,NA
1809,MONGOLIA,2018,20.49,0.0067,NA
1810,MONTENEGRO,2018,51.61,0.017,NA
1811,MONTSERRAT,2018,0.02,0.0,NA
1812,MOROCCO,2018,432.32,0.1424,NA
1813,MOZAMBIQUE,2018,900.58,0.2967,NA
1814,MYANMAR,2018,966.19,0.3183,NA
1815,N. MARIANA IS.,2018,0.04,0.0,NA
1816,NAMIBIA,2018,43.87,0.0145,NA
1817,NAURU RP,2018,1.36,0.0004,NA
1818,NEPAL,2018,6612.96,2.1787,NA
1819,NETHERLAND,2018,6261.14,2.0628,NA
1820,NETHERLANDANTIL,2018,38.59,0.0127,NA
1821,NEW CALEDONIA,2018,10.25,0.0034,NA
1822,NEW ZEALAND,2018,352.85,0.1163,NA
1823,NICARAGUA,2018,87.31,0.0288,NA
1824,NIGER,2018,120.21,0.0396,NA
1825,NIGERIA,2018,2254.92,0.7429,NA
1826,NORFOLK IS,2018,0.38,0.0001,NA
1827,NORWAY,2018,359.98,0.1186,NA
1828,OMAN,2018,2439.46,0.8037,NA
1829,PAKISTAN IR,2018,1924.28,0.634,NA
1830,PALAU,2018,0.07,0.0,NA
1831,PANAMA C Z,2018,0.01,0.0,NA
1832,PANAMA REPUBLIC,2018,227.05,0.0748,NA
1833,PAPUA N GNA,2018,41.93,0.0138,NA
1834,PARAGUAY,2018,168.43,0.0555,NA
1835,PERU,2018,760.68,0.2506,NA
1836,PHILIPPINES,2018,1692.83,0.5577,NA
1837,PITCAIRN IS.,2018,0.01,0.0,NA
1838,POLAND,2018,1541.36,0.5078,NA
1839,PORTUGAL,2018,747.32,0.2462,NA
1840,PUERTO RICO,2018,78.05,0.0257,NA
1841,QATAR,2018,1471.88,0.4849,NA
1842,REUNION,2018,46.36,0.0153,NA
1843,ROMANIA,2018,398.9,0.1314,NA
1844,RUSSIA,2018,2113.39,0.6963,NA
1845,RWANDA,2018,90.6,0.0298,NA
1846,SAHARWI A.DM RP,2018,0.01,0.0,NA
1847,SAMOA,2018,2.4,0.0008,NA
1848,SAN MARINO,2018,0.14,0.0,NA
1849,SAO TOME,2018,0.89,0.0003,NA
1850,SAUDI ARAB,2018,5410.7,1.7826,NA
1851,SENEGAL,2018,724.11,0.2386,NA
1852,SERBIA,2018,59.02,0.0194,NA
1853,SEYCHELLES,2018,42.06,0.0139,NA
1854,SIERRA LEONE,2018,93.51,0.0308,NA
1855,SINGAPORE,2018,10202.82,3.3614,NA
1856,SINT MAARTEN (DUTCH PART),2018,0.01,0.0,NA
1857,SLOVAK REP,2018,152.46,0.0502,NA
1858,SLOVENIA,2018,284.13,0.0936,NA
1859,SOLOMON IS,2018,1.28,0.0004,NA
1860,SOMALIA,2018,455.52,0.1501,NA
1861,SOUTH AFRICA,2018,3825.21,1.2603,NA
1862,SOUTH SUDAN,2018,3.54,0.0012,NA
1863,SPAIN,2018,3995.11,1.3162,NA
1864,SRI LANKA DSR,2018,4476.46,1.4748,NA
1865,ST HELENA,2018,0.01,0.0,NA
1866,ST KITT N A,2018,2.87,0.0009,NA
1867,ST LUCIA,2018,4.06,0.0013,NA
1868,ST PIERRE,2018,0.01,0.0,NA
1869,ST VINCENT,2018,0.69,0.0002,NA
1870,STATE OF PALEST,2018,0.02,0.0,NA
1871,SUDAN,2018,822.72,0.2711,NA
1872,SURINAME,2018,17.38,0.0057,NA
1873,SWAZILAND,2018,32.71,0.0108,NA
1874,SWEDEN,2018,771.5,0.2542,NA
1875,SWITZERLAND,2018,1083.84,0.3571,NA
1876,SYRIA,2018,153.32,0.0505,NA
1877,TAIWAN,2018,2156.67,0.7105,NA
1878,TAJIKISTAN,2018,23.94,0.0079,NA
1879,TANZANIA REP,2018,1618.8,0.5333,NA
1880,THAILAND,2018,3653.83,1.2038,NA
1881,TIMOR LESTE,2018,3.32,0.0011,NA
1882,TOGO,2018,408.68,0.1346,NA
1883,TOKELAU IS,2018,0.0,,NA
1884,TONGA,2018,1.26,0.0004,NA
1885,TRINIDAD,2018,88.69,0.0292,NA
1886,TUNISIA,2018,281.77,0.0928,NA
1887,TURKEY,2018,5090.7,1.6772,NA
1888,TURKMENISTAN,2018,54.31,0.0179,NA
1889,TURKS C IS,2018,1.15,0.0004,NA
1890,TUVALU,2018,0.06,0.0,NA
1891,U ARAB EMTS,2018,28146.12,9.273,NA
1892,U K,2018,9691.07,3.1928,NA
1893,U S A,2018,47878.48,15.7741,NA
1894,UGANDA,2018,532.26,0.1754,NA
1895,UKRAINE,2018,330.1,0.1088,NA
1896,UNION OF SERBIA & MONTENEGRO,2018,0.0,0.0,NA
1897,UNSPECIFIED,2018,2429.68,0.8005,NA
1898,URUGUAY,2018,159.45,0.0525,NA
1899,US MINOR OUTLYING ISLANDS,2018,0.52,0.0002,NA
1900,UZBEKISTAN,2018,132.72,0.0437,NA
1901,VANUATU REP,2018,2.27,0.0007,NA
1902,VATICAN CITY,2018,0.11,0.0,NA
1903,VENEZUELA,2018,79.21,0.0261,NA
1904,VIETNAM SOC REP,2018,7813.08,2.5741,NA
1905,VIRGIN IS US,2018,2.88,0.0009,NA
1906,WALLIS F IS,2018,0.05,0.0,NA
1907,YEMEN REPUBLC,2018,563.46,0.1856,NA
1908,ZAMBIA,2018,294.29,0.097,NA
1909,ZIMBABWE,2018,163.54,0.0539,NA
