,HSCode,Year,Commodity,Vol (Imports),Gowth
85,89,2019,"SHIPS, BOATS AND FLOATING STRUCTURES.",69.96,-11.23
86,90,2019,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",1340.4,-15.58
87,91,2019,CLOCKS AND WATCHES AND PARTS THEREOF.,49.06,-1.78
88,92,2019,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,29.07,-17.33
89,93,2019,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.08,1549.81
90,94,2019,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",899.44,-8.92
91,95,2019,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",402.28,-10.94
92,96,2019,MISCELLANEOUS MANUFACTURED ARTICLES.,354.49,4.4
93,97,2019,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,18.73,1326.79
94,98,2019,PROJECT GOODS; SOME SPECIAL USES.,440.06,-20.7
95,99,2019,MISCELLANEOUS GOODS.,0.08,207.58
96,01,2020,LIVE ANIMALS.,0.05,454.97
97,03,2020,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.46,-28.9
98,05,2020,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",4.73,0.41
99,06,2020,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,3.54,-5.56
100,07,2020,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,48.93,-10.8
101,08,2020,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,10.33,-16.48
102,09,2020,"COFFEE, TEA, MATE AND SPICES.",14.99,59.64
103,10,2020,CEREALS.,0.0,
104,11,2020,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,11.29,-28.1
105,12,2020,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",8.28,-2.69
106,13,2020,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",29.72,29.62
107,14,2020,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,67.33,28.59
